local_date,has_extreme_event,event_types,value_delta_kusd,absolute_imbalance_reduction_mwh,pv_reference_rmse_mw,pv_llm_rmse_mw,pv_rmse_improvement_pct
2024-02-13,0,,135.68180555884084,1699.2281891406437,722.3063033227065,819.3888806950301,-13.440638261874588
2024-02-14,0,,-86.96153746968295,-993.5540183662852,536.5642923142849,520.1246375088672,3.0638741789005266
2024-02-15,0,,-61.51405376729335,-1170.1489943901452,330.95632471887455,388.0915270829585,-17.263668374555625
2024-02-16,0,,-55.57444189317519,-1381.3197470809173,417.67299620183877,537.3802949035901,-28.660531035121853
2024-02-17,1,Flood,-152.37299468047536,-4384.537408455435,683.3425252001509,886.8527722304558,-29.781586762904407
2024-02-18,1,Flash Flood|Flood,-182.55183632047766,-1001.0071586837221,688.6557819566988,693.4946125132175,-0.7026486502109928
2024-02-19,1,Debris Flow|Flash Flood|Flood|Heavy Rain|Thunderstorm Wind,-7.415185720889381,-608.7544602608868,806.4487836061395,850.630718862027,-5.478579192384956
2024-02-20,1,Debris Flow|Flash Flood|Flood|Funnel Cloud,-109.15484660034517,-1849.3959321979164,824.148324070664,872.0245052712277,-5.809170485731484
2024-02-21,1,Debris Flow|Flash Flood|Flood,34.498205841534684,357.25181452670404,483.8103438830651,439.63203025506107,9.131328874332988
2024-02-22,0,,-3.641332021262293,-117.16410210158574,876.7359092059685,1007.9090631110544,-14.961535455287237
